location,population,total_covid_infections,percent_population_infected
Cyprus,896007,602662,67.26085845
Faeroe Islands,53117,34658,65.24841388
San Marino,33690,21739,64.52656575
Gibraltar,32677,20121,61.57542002
Austria,8939617,5477350,61.27052199
Slovenia,2119843,1240194,58.50404959
Andorra,79843,46664,58.44469772
Denmark,5882259,3340269,56.78547986
Iceland,372903,206803,55.45758548
Saint Pierre and Miquelon,5885,3231,54.90229397
France,67813000,37103344,54.71420524
Brunei,449002,244599,54.47614933
Portugal,10270857,5528365,53.8257421
Liechtenstein,39355,20741,52.70232499
Latvia,1850654,955943,51.65433409
Falkland Islands,3801,1930,50.77611155
Greece,10384972,5250288,50.55659274
South Korea,51815808,26037020,50.24918264
Israel,9449000,4693146,49.66817653
Switzerland,8740471,4276848,48.93155071
Netherlands,17564020,8536178,48.60036598
Georgia,3744385,1785138,47.67506546
Bahrain,1472237,692639,47.04670512
Slovakia,5643455,2645927,46.88487815
Luxembourg,647601,303571,46.87624015
Lithuania,2750058,1270708,46.2065891
Seychelles,107135,49380,46.09138003
Estonia,1326064,607844,45.83820992
Cayman Islands,68722,31096,45.24897413
Montenegro,627082,283192,45.16028207
Isle of Man,84534,38008,44.96179052
Germany,83369840,35971322,43.1466847
Bonaire Sint Eustatius and Saba,27052,11467,42.38873281
Aruba,106459,44145,41.46666792
Monaco,36491,15057,41.26222904
Italy,59037472,23642011,40.04577127
Australia,26177410,10429996,39.84349865
Czechia,10493990,4164348,39.68317103
Belgium,11655923,4619721,39.63410705
Saint Helena,5401,2115,39.15941492
Singapore,5637022,2131554,37.81347669
Cook Islands,17032,6389,37.5117426
Marshall Islands,41593,15389,36.99901426
Barbados,281646,103424,36.72127422
Nauru,12691,4611,36.33283429
New Zealand,5185289,1872544,36.11262555
United Kingdom,67508936,23930041,35.44721991
Maldives,523798,185454,35.40563347
Serbia,6871547,2410954,35.08604394
Ireland,5023108,1675723,33.36028212
Taiwan,23893396,7953885,33.28905192
Montserrat,4413,1403,31.79243145
Croatia,4030361,1249239,30.99570981
Palau,18084,5530,30.57951781
Wallis and Futuna,11596,3415,29.44981028
Mongolia,3398373,986599,29.03151008
Uruguay,3422796,991219,28.95933617
United States,338289856,97900497,28.93982638
Bermuda,64207,18428,28.70092046
Spain,47558632,13529643,28.44834351
Norway,5434324,1466164,26.97969425
Hong Kong,7488863,1962610,26.20704905
New Caledonia,289959,74577,25.71984315
French Polynesia,306292,76797,25.07313283
Sweden,10549349,2614997,24.78823101
Anguilla,15877,3904,24.58902815
Finland,5540745,1360721,24.55844837
Chile,19603736,4810774,24.54008766
Curacao,191173,45489,23.79467812
British Virgin Islands,31332,7305,23.31482191
Panama,4408582,991251,22.48457667
Lebanon,5489744,1219297,22.2104528
Costa Rica,5180836,1138416,21.97359654
Malta,533293,115532,21.66388833
Dominica,72758,15760,21.66084829
Hungary,9967304,2153564,21.60628391
Argentina,45510324,9720232,21.35830103
Greenland,56494,11971,21.18986087
Mauritius,1299478,266489,20.50738835
Turkey,85341248,16919638,19.82586193
Micronesia (country),114178,22203,19.44595281
Bulgaria,6781955,1282284,18.90729148
Japan,123951696,22902805,18.4772018
Moldova,3272993,594163,18.15350659
Qatar,2695131,472587,17.53484339
Belize,405285,68972,17.01814772
Romania,19659270,3290564,16.73797654
Saint Lucia,179872,29654,16.48616794
North Macedonia,2093606,344342,16.44731626
Brazil,215313504,34855492,16.18825171
Armenia,2780472,445397,16.01875509
Poland,39857144,6345188,15.91982607
Grenada,125459,19604,15.62582198
Kuwait,4268886,662359,15.51596833
Jordan,11285875,1746997,15.47949982
Kosovo,1782115,272186,15.27320066
Tonga,106867,16182,15.14218608
Russia,144713312,21172652,14.63075629
Malaysia,33938216,4937020,14.54708167
Ukraine,39701744,5617906,14.15027511
Turks and Caicos Islands,45726,6431,14.06420855
Saint Kitts and Nevis,47681,6549,13.73503073
Palestine,5250076,703036,13.39096805
Suriname,618046,81228,13.14271106
Botswana,2630300,326344,12.40710185
Bosnia and Herzegovina,3233530,400129,12.37437104
Peru,34049588,4163326,12.2272434
Colombia,51874028,6310332,12.16472336
Trinidad and Tobago,1531043,184949,12.07993505
Vietnam,98186856,11507124,11.71961754
Albania,2842318,333088,11.71888578
Canada,38454328,4393414,11.42501827
United Arab Emirates,9441138,1040133,11.01702994
Paraguay,6780745,717980,10.58851203
Cape Verde,593162,62619,10.55681247
Belarus,9534956,994037,10.42518707
Cuba,11212198,1111303,9.911553471
Antigua and Barbuda,93772,9106,9.710787868
Tunisia,12356116,1146702,9.280440553
Bahamas,409989,37416,9.126098505
Saint Vincent and the Grenadines,103959,9459,9.098779326
Bolivia,12224114,1109730,9.07820395
Guyana,808727,71453,8.835243537
Oman,4576300,398775,8.713917357
Iran,88550568,7558690,8.536015263
Bhutan,782457,62430,7.978713207
Azerbaijan,10358078,823584,7.951127613
Kazakhstan,19397998,1485203,7.656475684
Libya,6812344,507060,7.443253012
Fiji,929769,68270,7.342684043
Samoa,222390,15949,7.171635415
South Africa,59893884,4031624,6.731278272
Namibia,2567024,169946,6.620351037
Thailand,71697024,4695207,6.548677669
Guatemala,17843914,1143697,6.409451424
Eswatini,1201680,73618,6.126256574
Dominican Republic,11228821,647653,5.767773838
Ecuador,18001002,1009388,5.607398966
Mexico,127504120,7115535,5.580631434
Iraq,44496124,2461857,5.53274483
Jamaica,2827382,152306,5.386820741
Honduras,10432858,457196,4.38226994
Vanuatu,326744,11981,3.666785006
Vatican,808,29,3.589108911
Philippines,115559008,4012868,3.472570481
Morocco,37457976,1266231,3.380404216
Nepal,30547586,1000766,3.276088657
El Salvador,6336393,201785,3.184540479
India,1417173120,44661504,3.151450121
Kyrgyzstan,6630621,206464,3.113795827
Sri Lanka,21832150,671354,3.075070481
Solomon Islands,724272,21544,2.974573089
Laos,7529477,216323,2.873014952
Sao Tome and Principe,227393,6275,2.759539652
Kiribati,131237,3430,2.613592203
Indonesia,275501344,6537907,2.373094412
Saudi Arabia,36408824,824151,2.263602362
Gabon,2388997,48945,2.048767746
Venezuela,28301700,546202,1.929926471
Timor,1341298,23312,1.73801795
Zambia,20017670,333685,1.666952248
Zimbabwe,16320539,257893,1.580174527
Lesotho,2305826,34490,1.495776351
Tuvalu,11335,163,1.43802382
Djibouti,1120851,15690,1.399829237
Mauritania,4736146,63407,1.338788965
Bangladesh,171186368,2035992,1.189342366
Myanmar,54179312,632461,1.167347788
Comoros,836783,8879,1.061087522
Equatorial Guinea,1674916,17178,1.025603672
Rwanda,13776702,132611,0.962574352
Cambodia,16767851,137996,0.822979641
Uzbekistan,34627648,244878,0.707174799
Mozambique,32969520,230475,0.699054763
Pakistan,235824864,1574508,0.667659878
Kenya,54027484,339987,0.629285273
Algeria,44903228,270906,0.603310746
Senegal,17316452,88817,0.5129053
Ghana,33475870,170894,0.510499055
Afghanistan,41128772,204094,0.496231689
Gambia,2705995,12580,0.46489369
Egypt,110990096,515645,0.464586498
Papua New Guinea,10142625,45691,0.450484958
Togo,8848700,39314,0.444291252
Cameroon,27914542,123993,0.444187836
Malawi,20405318,88099,0.431745293
Guinea-Bissau,2105580,8848,0.420216757
Congo,5970430,24837,0.416000188
Ethiopia,123379928,494119,0.400485726
Burundi,12889583,50574,0.392363353
Uganda,47249588,169473,0.358676143
Cote d'Ivoire,28160548,87839,0.311922197
Haiti,11585003,33828,0.291998198
Angola,35588996,103131,0.289783393
Eritrea,3684041,10189,0.276571298
Guinea,13859349,38122,0.275063425
Central African Republic,5579148,15289,0.274038258
Syria,22125242,57374,0.259314678
Madagascar,29611718,66788,0.225545846
Nicaragua,6948395,15203,0.21879873
Benin,13352864,27912,0.209033807
Tajikistan,9952789,17786,0.178703678
South Sudan,10913172,18325,0.167916349
Somalia,17597508,27254,0.154874202
Liberia,5302690,7998,0.150829107
Mali,22593598,32741,0.144912731
Sudan,46874200,63558,0.135592714
Nigeria,218541216,266192,0.121804026
Macao,695180,795,0.114358871
Burkina Faso,22673764,21631,0.095401011
Democratic Republic of Congo,99010216,93219,0.09415089
Sierra Leone,8605723,7754,0.09010283
China,1425887360,1083133,0.075962031
Tanzania,65497752,40054,0.061153244
Chad,17723312,7631,0.043056287
Niger,26207982,9430,0.035981404
Yemen,33696612,11945,0.035448668
North Korea,26069416,1,3.84E-06
Pitcairn,47,0,0
Western Sahara,576005,0,0
Guernsey,63329,0,0
Scotland,5466000,0,0
Guam,171783,0,0
Sint Maarten (Dutch part),44192,0,0
Puerto Rico,3252412,0,0
Northern Mariana Islands,49574,0,0
United States Virgin Islands,99479,0,0
Niue,1952,0,0
Jersey,110796,0,0
Wales,3170000,0,0
Northern Cyprus,382836,0,0
England,56550000,0,0
Tokelau,1893,0,0
Turkmenistan,6430777,0,0
Northern Ireland,1896000,0,0
